	EC50
NCIH1944_LUNG	12.96
NCIH2122_LUNG	12.49333333
NCIH1793_LUNG	10.04266667
NCIH1573_LUNG	7.621
LXF289_LUNG	7.441333333
NCIH2023_LUNG	5.807
NCIH2228_LUNG	5.6165
NCIH2030_LUNG	4.69325
A549_LUNG	4.236333333
NCIH2126_LUNG	3.621666667
NCIH1437_LUNG	3.593
NCIH1395_LUNG	3.158333333
NCIH1651_LUNG	2.7
NCIH460_LUNG	2.1884
NCIH838_LUNG	1.946285714
NCIH441_LUNG	1.938
NCIH1781_LUNG	1.817
NCIH661_LUNG	1.517666667
HCC827_LUNG	1.509
NCIH2009_LUNG	1.4305
NCIH1568_LUNG	1.1895
NCIH2405_LUNG	1.12635
NCIH1693_LUNG	1.0288
NCIH23_LUNG	0.880625
NCIH522_LUNG	0.843366667
NCIH1299_LUNG	0.709066667
